acegisecurity,,org.acegisecurity,,
activation,activation,javax.activation,activation,
ant,ant,org.apache.ant,ant,
antlr,antlr,org.antlr,antlr,
asm,,org.ow2.asm,,"The group id of ASM 4.0 is ""org.ow2.asm"", which is changed 
from 3.X. See https://gitlab.ow2.org/asm/asm/-/issues/316288"
aspectj,,org.aspectj,,
axis,,org.apache.axis,,
bcel,bcel,org.apache.bcel,bcel,
bouncycastle,,org.bouncycastle,,
bsh,bsh,org.beanshell,bsh,
c3p0,c3p0,com.mchange,c3p0,
cactus,cactus-ant,cactus,cactus-ant-13,
ch.qos.logback,logback-access,ch.qos.logback.access,common,"The 1.5.x continues the 1.4.x series but with logback-access relocated to its own repository."
clover,clover,com.cenqua.clover,clover,
cobertura,,"net.sourceforge.cobertura",,
com.actionbarsherlock,library,com.actionbarsherlock,actionbarsherlock,
com.aoindustries,ao-web-page,com.semanticcms,semanticcms-core-model,
com.aoindustries,ao-web-page-servlet,com.semanticcms,semanticcms-core-servlet,
com.aoindustries,ao-web-page-taglib,com.semanticcms,semanticcms-core-taglib,
com.aoindustries,ao-web-sitemap-servlet,com.semanticcms,semanticcms-core-sitemap,
com.aoindustries,semanticcms-core-model,com.semanticcms,semanticcms-core-model,
com.aoindustries,semanticcms-core-servlet,com.semanticcms,semanticcms-core-servlet,
com.avanza.astrix,astrix-provider,com.avanza.astrix,astrix-core,
com.cloudbees.thirdparty,vijava,com.vmware,vijava,
com.code-spotter,codespotter-maven-plugin,com.coverity,ondemand-maven-plugin,
com.coronaide.lockdown,,"org.starchartlabs.lockdown",,
com.datadoghq,dd-trace-annotations,com.datadoghq,dd-trace-api,
com.datadoghq,dd-trace,com.datadoghq,dd-trace-ot,
com.datastax.cassandra,cassandra-driver-core,com.datastax.oss,java-driver-core,
com.datastax.dse,dse-java-driver-core,com.datastax.oss,java-driver-core,
com.datastax.dse,"dse-java-driver-core-shaded",com.datastax.oss,java-driver-core-shaded,
com.datastax.dse,"dse-java-driver-mapper-processor",com.datastax.oss,"java-driver-mapper-processor",
com.datastax.dse,"dse-java-driver-mapper-runtime",com.datastax.oss,"java-driver-mapper-runtime",
com.datastax.dse,"dse-java-driver-query-builder",com.datastax.oss,"java-driver-query-builder",
"com.deliveredtechnologies",rulebook,"com.deliveredtechnologies",rulebook-core,
com.energizedwork,"jfconfig-factories-jdkclock",uk.cogfin,"jfconfig-factories-jdkclock",
com.energizedwork,jfconfig,uk.cogfin,jfconfig,
com.enioka.jqm,jqm-api-client-hibernate,com.enioka.jqm,jqm-api-client-jdbc,
com.facebook.android,facebook-marketing,com.facebook.android,facebook-core,
com.github.dblock,oshi-core,com.github.oshi,oshi-core,
com.github.dblock,oshi-dist,com.github.oshi,oshi-dist,
com.github.dblock,oshi-json,com.github.oshi,oshi-json,
com.github.dblock,oshi-parent,com.github.oshi,oshi-parent,
com.github.fge,btf,"com.github.java-json-tools",btf,
com.github.fge,jackson-coreutils,"com.github.java-json-tools",jackson-coreutils,
com.github.fge,json-patch,"com.github.java-json-tools",json-patch,
com.github.fge,json-schema-avro,"com.github.java-json-tools",json-schema-avro,
com.github.fge,json-schema-core,"com.github.java-json-tools",json-schema-core,
com.github.fge,"json-schema-processor-examples","com.github.java-json-tools","json-schema-processor-examples",
com.github.fge,json-schema-validator,"com.github.java-json-tools",json-schema-validator,
com.github.fge,msg-simple,"com.github.java-json-tools",msg-simple,
com.github.fge,uri-template,"com.github.java-json-tools",uri-template,
com.github.nayuki,qrcodegen,io.nayuki,qrcodegen,
com.github.s4u,jfatek,org.simplify4u,jfatek,
com.github.s4u,jfatek,org.simplify4u,jfatek,
com.github.s4u.plugins,pgpverify-maven-plugin,org.simplify4u.plugins,pgpverify-maven-plugin,
com.github.s4u.plugins,sitemapxml-maven-plugin,org.simplify4u.plugins,sitemapxml-maven-plugin,
"com.github.spring-data-dynamodb",spring-data-dynamodb,com.github.derjust,spring-data-dynamodb,
com.github.wnameless,json-flattener,"com.github.wnameless.json",json-flattener,
com.google.api-ads,adwords-lib,com.google.api-ads,ads-lib,
com.google.api-ads,dfa-lib,com.google.api-ads,ads-lib,
com.google.api-ads,dfp-lib,com.google.api-ads,ads-lib,
com.google.apis,google-api-services-sql,com.google.apis,"google-api-services-sqladmin",
"com.google.inject.extensions",guice-multibindings,com.google.inject,guice,"Since Guice 4.2, multibindings support has moved to Guice core, see https://github.com/google/guice/wiki/Multibindings"
com.googlecode.flyway,flyway-core,org.flywaydb,flyway-core,
com.googlecode.jmockit,jmockit,org.jmockit,jmockit,
com.googlecode.openpojo,openpojo,com.openpojo,openpojo,
"com.google.code.maven-replacer-plugin",maven-replacer-plugin,"com.google.code.maven-replacer-plugin",replacer,
"com.google.code.reflection-utils",reflection-utils,"com.github.ekryd.reflection-utils",reflection-utils,
com.graphql-java,"graphiql-spring-boot-autoconfigure","com.graphql-java-kickstart","graphiql-spring-boot-autoconfigure",
com.graphql-java,"graphiql-spring-boot-starter","com.graphql-java-kickstart","graphiql-spring-boot-starter",
com.graphql-java,graphql-java-servlet,"com.graphql-java-kickstart",graphql-java-servlet,
com.graphql-java,graphql-java-tools,"com.graphql-java-kickstart",graphql-java-tools,
com.graphql-java,"graphql-spring-boot-autoconfigure","com.graphql-java-kickstart","graphql-spring-boot-autoconfigure",
com.graphql-java,"graphql-spring-boot-starter-test","com.graphql-java-kickstart","graphql-spring-boot-starter-test",
com.graphql-java,"graphql-spring-boot-starter","com.graphql-java-kickstart","graphql-spring-boot-starter",
com.graphql-java,graphql-spring-boot-test,"com.graphql-java-kickstart",graphql-spring-boot-test,
com.graphql-java,"graphql-spring-boot-test-autoconfigure","com.graphql-java-kickstart","graphql-spring-boot-test-autoconfigure",
com.graphql-java,"voyager-spring-boot-autoconfigure","com.graphql-java-kickstart","voyager-spring-boot-autoconfigure",
com.graphql-java,"voyager-spring-boot-starter","com.graphql-java-kickstart","voyager-spring-boot-starter",
com.hotels.beans,bean-utils-library,com.hotels.beans,bull-bean-transformer,
com.hp.hpl.jena,,org.apache.jena,,"Jena was originally developed by researchers in HP Labs. (...) The project team successfully applied to have Jena adopted by the Apache Software Foundation in November 2010"
com.ibatis,ibatis-common,com.ibatis,ibatis2-common,
com.ibatis,ibatis-dao,com.ibatis,ibatis2-dao,
com.ibatis,ibatis-sqlmap,com.ibatis,ibatis2-sqlmap,
com.indeed,java-dogstatsd-client,com.datadoghq,java-dogstatsd-client,"This project has merged with datadog/java-dogstatsd-client and now lives in a new home at: http://datadog/java-dogstatsd-client"
com.intuit.karate,,io.karatelabs,,"Since version v1.5.0 the groupId has changed, see https://github.com/karatelabs/karate/releases/tag/v1.5.0"
com.javaslang,,io.javaslang,,
"com.jayway.maven.plugins.android.generation2",maven-android-plugin,"com.jayway.maven.plugins.android.generation2",android-maven-plugin,
com.jayway.restassured,rest-assured,io.rest-assured,rest-assured,
com.kakawait,"cas-security-dynamic-service-resolver",com.kakawait,"spring-security-cas-extension",
com.lowagie,itext,com.itextpdf,itextpdf,
com.mageddo.togglefirst,toggle-first-core,com.mageddo,feature-switch,
com.mageddo.togglefirst,toggle-first-repo-jdbc,com.mageddo,feature-switch,
com.marklogic,java-client-api,com.marklogic,marklogic-client-api,
com.mattprovis,fluentmatcher-core,com.mattprovis,"fluentmatcher-maven-plugin",
com.mattprovis,"fluentmatcher-maven-plugin-test",com.mattprovis,"fluentmatcher-maven-plugin",
com.mattprovis,fluentmatcher-parent,com.mattprovis,"fluentmatcher-maven-plugin",
com.microsoft.azure,azure-eventhubs,com.azure,"azure-messaging-eventhubs",
com.microsoft.azure,azure-eventhubs-eph,com.azure,"azure-messaging-eventhubs-checkpointstore-blob",
com.microsoft.azure,azure-keyvault,com.azure,azure-keyvault,
com.microsoft.azure,azure-keyvault-core,com.azure,"azure-security-keyvault-keys",
com.microsoft.azure,"azure-keyvault-cryptography",com.azure,"azure-security-keyvault-keys",
com.microsoft.azure,"azure-keyvault-extensions",com.azure,"azure-keyvault-extensions",
com.microsoft.azure,azure-keyvault-webkey,com.azure,"azure-security-keyvault-keys",
com.microsoft.azure,azure-management,com.microsoft.azure,azure-svc-mgmt,
com.microsoft.azure,azure-management-compute,com.microsoft.azure,azure-svc-mgmt-compute,
com.microsoft.azure,azure-management-media,com.microsoft.azure,azure-svc-mgmt-media,
com.microsoft.azure,azure-management-network,com.microsoft.azure,azure-svc-mgmt-network,
com.microsoft.azure,"azure-management-scheduler",com.microsoft.azure,azure-svc-mgmt-scheduler,
com.microsoft.azure,azure-management-sql,com.microsoft.azure,azure-svc-mgmt-sql,
com.microsoft.azure,azure-management-storage,com.microsoft.azure,azure-svc-mgmt-storage,
com.microsoft.azure,"azure-management-websites",com.microsoft.azure,azure-svc-mgmt-websites,
com.microsoft.azure,"azure-spring-boot-dependencies",com.microsoft.azure,"azure-spring-boot-starter-parent",
com.microsoft.azure,azure-storage,com.azure,azure-storage,
com.microsoft.azure,spring-data-documentdb,com.microsoft.azure,spring-data-cosmosdb,
"com.microsoft.windowsazure.storage","microsoft-windowsazure-storage-sdk",com.microsoft.azure,azure-storage,
commons-dbcp,commons-dbcp,org.apache.commons,commons-dbcp2,
commons-collections,commons-collections,org.apache.commons,commons-collections4,
commons-compress,commons-compress,org.apache.commons,commons-compress,
commons-configuration,commons-configuration,org.apache.commons,commons-configuration2,
commons-email,commons-email,org.apache.commons,commons-email,
commons-httpclient,commons-httpclient,"org.apache.httpcomponents",httpclient,"HttpComponents Client is a successor of and replacement for Commons HttpClient 3.x. Users of Commons HttpClient are strongly encouraged to upgrade."
commons-lang,commons-lang,org.apache.commons,commons-lang3,
commons-math,commons-math,org.apache.commons,commons-math,"Check https://issues.apache.org/jira/browse/MATH-339 for more details"
commons-pool,commons-pool,org.apache.commons,commons-pool2,
com.mtvi.plateng.maven,maven-hudson-plugin,org.jvnet.hudson.tools,maven-hudson-plugin,
com.mysema.maven,maven-apt-plugin,com.mysema.maven,apt-maven-plugin,
com.mysema.querydsl,,com.querydsl,,
com.nanohttpd,,org.nanohttpd,,
com.ning.maven.plugins,"maven-duplicate-finder-plugin",org.basepom.maven,"duplicate-finder-maven-plugin","Starting with version 1.1.0, the duplicate finder plugin has moved."
com.opentable.components,otj-metrics,com.opentable.components,otj-metrics-jaxrs,
com.opentable.components,otj-server,com.opentable.components,otj-server-jaxrs,
com.oracle.substratevm,,org.graalvm.nativeimage,,
com.semanticcms,"semanticcms-sitemap-servlet",com.semanticcms,semanticcms-core-sitemap,
com.semanticcms,semanticcms-view-content,com.semanticcms,"semanticcms-core-view-content",
com.squareup.okhttp,,com.squareup.okhttp3,,"The Maven group ID is now com.squareup.okhttp3, see https://square.github.io/okhttp/changelog_3x/#version-300-rc1"
com.squareup.retrofit,,com.squareup.retrofit2,,"The Maven group ID is now com.squareup.retrofit2, see https://github.com/square/retrofit/blob/master/CHANGELOG.md"
com.sun.jersey,,"org.glassfish.jersey.core",,
com.sun.mail,javax.mail,com.sun.mail,jakarta.mail,
com.sun.xml,saaj-impl,"com.sun.xml.messaging.saaj",saaj-impl,
com.typesafe,slick_2.10,com.typesafe.slick,slick_2.10,
com.typesafe,slick-testkit_2.10,com.typesafe.slick,slick-testkit_2.10,
com.typesafe.play,,org.playframework,,"With Play 3.0, we changed the groupId from com.typesafe.play to org.playframework to emphasize that Play is fully community-driven."
com.vladmihalcea,,io.hypersistence,,
com.wandrell.archetypes,library,"com.wandrell.maven.archetypes",library,
com.wandrell.maven,archetype-pom,com.bernardomg.maven,archetype-pom,
"com.wandrell.maven.archetypes",library-archetype,"com.bernardomg.maven.archetypes",library-archetype,
com.wandrell.maven,base-pom,com.bernardomg.maven,base-pom,
com.wandrell,persistence-utils,com.wandrell,repository-pattern,
com.wandrell.tabletop,dice,com.bernardomg.tabletop,dice,
"com.wandrell.tabletop.dreadball",dreadball-model-api,"com.bernardomg.tabletop.dreadball",dreadball-model-api,
"com.wandrell.tabletop.dreadball",dreadball-model-default,"com.bernardomg.tabletop.dreadball",dreadball-model-default,
"com.wandrell.tabletop.dreadball",dreadball-model-json,"com.bernardomg.tabletop.dreadball",dreadball-model-json,
"com.wandrell.tabletop.dreadball","dreadball-model-persistence","com.bernardomg.tabletop.dreadball","dreadball-model-persistence",
cz.geek,gooddata-java,com.gooddata,gooddata-java,
dbunit,dbunit,org.dbunit,dbunit,
de.cwkr,cwkr-checkstyle,de.cwkr,cwkr-coding-guidelines,
de.cwkr,cwkr-coding-guidelines,de.cwkr,cwkr-pmd,
de.cwkr,tracerr,de.cwkr.validation,validation-util,
de.cwkr.validation,validation-util,de.cwkr,cwkr-util,
de.stklcode.jvault,connector,de.stklcode.jvault,jvault-connector,
de.thksystems,tkscommons-crypto,de.thksystems,tkscommons,
de.thksystems,tkscommons-lang,de.thksystems,tkscommons,
de.thksystems,tkscommons-xstream,de.thksystems,tkscommons,
docbook,docbook-xml,org.docbook,docbook-xml,
docbook,docbook-xsl,org.docbook,docbook-xsl,
dom4j,dom4j,org.dom4j,dom4j,
easymock,easymockclassextension,org.easymock,easymockclassextension,
easymock,easymock,org.easymock,easymock,
ehcache,ehcache,net.sf.ehcache,ehcache,
eu.lp0.slf4j,slf4j-android,uk.uuid,slf4j-android,
fi.jumi,jumi-actors,fi.jumi.actors,jumi-actors,
fi.jumi,jumi-actors-maven-plugin,fi.jumi.actors,jumi-actors-maven-plugin,
fi.jumi,thread-safety-agent,fi.jumi.actors,thread-safety-agent,
fish.payara.arquillian,"arquillian-payara-micro-5-managed",fish.payara.arquillian,"arquillian-payara-micro-managed",
fish.payara.arquillian,"arquillian-payara-server-4-embedded",fish.payara.arquillian,"arquillian-payara-server-embedded",
fish.payara.arquillian,"arquillian-payara-server-4-managed",fish.payara.arquillian,"arquillian-payara-server-managed",
fish.payara.arquillian,"arquillian-payara-server-4-remote",fish.payara.arquillian,"arquillian-payara-server-remote",
fish.payara.arquillian,"payara-container-4-common",fish.payara.arquillian,payara-container-common,
fop,fop,org.apache.xmlgraphics,fop,
freemarker,freemarker,org.freemarker,freemarker,
fr.inria.atlanmod.neoemf,neoemf-blueprints,fr.inria.atlanmod.neoemf,"neoemf-data-blueprints-core",
fr.inria.atlanmod.neoemf,neoemf-blueprints-neo4j,fr.inria.atlanmod.neoemf,"neoemf-data-blueprints-neo4j",
fr.inria.atlanmod.neoemf,neoemf-graph,fr.inria.atlanmod.neoemf,neoemf-data-blueprints,
fr.inria.atlanmod.neoemf,neoemf-hbase,fr.inria.atlanmod.neoemf,neoemf-data-hbase,
fr.inria.atlanmod.neoemf,neoemf-map,fr.inria.atlanmod.neoemf,neoemf-data-mapdb,
fulcrum,,org.apache.fulcrum,,
geronimo,,org.apache.geronimo,,
groovy,groovy-1.0-jsr,groovy,groovy,
hibernate,hibernate,org.hibernate,hibernate,
htmlunit,htmlunit,net.sourceforge.htmlunit,htmlunit,
icu4j,icu4j,com.ibm.icu,icu4j,
icu,icu4j,com.ibm.icu,icu4j,
info.cukes,,io.cucumber,,
io.fabric8,fabric8-maven-plugin,org.eclipse.jkube,kubernetes-maven-plugin,"This project has been rebranded to https://github.com/eclipse-jkube/jkube."
io.fabric8,maven-model-interpreter,io.fabric8,maven-model-helper,
io.github.benas,random-beans,org.jeasy,easy-random-core,
"io.github.animatedledstrip","animatedledstrip-kotlin-pi","io.github.animatedledstrip",animatedledstrip-pi,
io.github.devopsix,hamcrest-mail,org.devopsix,hamcrest-mail,
"io.github.fast-classpath-scanner",fast-classpath-scanner,io.github.classgraph,classgraph,
io.github.lukehutch,fast-classpath-scanner,io.github.classgraph,classgraph,
io.github.openfeign,feign-java8,io.github.openfeign,feign-core,
io.javaslang,,io.vavr,,
io.jenkins.tools,"git-changelist-maven-extension","io.jenkins.tools.incrementals","git-changelist-maven-extension",
io.opentelemetry,"opentelemetry-extension-annotations","io.opentelemetry.instrumentation","opentelemetry-instrumentation-annotations","Deprecated with v1.17.0 and moved to new coordinates"
"io.quee.ktx.framework.dependencies","ktx-business-dependencies",io.quee.ktx.radix,ktx-radix-dependencies,
io.quee.ktx.framework,ktx-business-adapter,io.quee.ktx.radix,ktx-radix-adapter,
io.quee.ktx.framework,"ktx-business-adapter-shared",io.quee.ktx.radix,"ktx-business-adapter-shared",
io.quee.ktx.framework,"ktx-business-development-action-usecase",io.quee.ktx.radix,"ktx-radix-development-usecase-action",
io.quee.ktx.framework,"ktx-business-development-identity",io.quee.ktx.radix,"ktx-radix-development-identity",
io.quee.ktx.framework,ktx-business-development,io.quee.ktx.radix,ktx-radix-development,
io.quee.ktx.framework,"ktx-business-development-reactive-usecases",io.quee.ktx.radix,ktx-radix-tool,
io.quee.ktx.framework,"ktx-business-development-shared",io.quee.ktx.radix,"ktx-radix-development-shared",
io.quee.ktx.framework,"ktx-business-development-store",io.quee.ktx.radix,"ktx-radix-development-store",
io.quee.ktx.framework,"ktx-business-development-usecases",io.quee.ktx.radix,"ktx-radix-development-usecase",
io.quee.ktx.framework,ktx-business-framework,io.quee.api.parent,quee-api-parent,
io.quee.ktx.framework,ktx-business-framework,io.quee.ktx.radix,ktx-radix,
io.quee.ktx.framework,ktx-business-port,io.quee.ktx.radix,ktx-radix-port,
io.quee.ktx.framework,ktx-business-port-logger,io.quee.ktx.radix,ktx-radix-port-logger,
io.quee.ktx.framework,ktx-business-starter,io.quee.ktx.radix,ktx-radix-starter,
io.quee.ktx.framework,"ktx-business-starter-logger",io.quee.ktx.radix,ktx-radix-starter-logger,
io.quee.ktx.framework,ktx-business-tool-http,io.quee.ktx.radix,ktx-radix-tool-http,
io.quee.ktx.framework,ktx-business-tool,io.quee.ktx.radix,ktx-radix-tool,
io.quee.ktx.framework,"ktx-business-tool-json-dsl",io.quee.ktx.radix,ktx-radix-tool-json-dsl,
io.quee.ktx.framework,"ktx-business-tool-test-dsl",io.quee.ktx.radix,ktx-radix-tool-test-dsl,
io.quee.ktx.framework,ktx-business-tool-test,io.quee.ktx.radix,ktx-radix-tool-test,
io.sgr,common-dependencies,io.sgr.maven,common-dependencies,
io.sgr,io.sgr.base,io.sgr.maven,maven-base,
io.sgr,io.sgr,io.sgr,io.sgr.base,
io.smallrye,smallrye-config-common,io.smallrye.config,smallrye-config-common,
io.smallrye,smallrye-config-docs,io.smallrye.config,smallrye-config-docs,
io.smallrye,smallrye-config,io.smallrye.config,smallrye-config,
io.smallrye,smallrye-config-parent,io.smallrye.config,smallrye-config-parent,
io.smallrye,smallrye-config-release,io.smallrye.config,smallrye-config-release,
io.swagger,,io.swagger.core.v3,,
io.wcm,io.wcm.testing.aem-mock,io.wcm,"io.wcm.testing.aem-mock.junit4",
itext,itext,com.lowagie,itext,
jaas,jaas,javax.security,jaas,
jaf,activation,javax.activation,activation,
jarjar,jarjar,com.tonicsystems,jarjar,
javacc,javacc,net.java.dev.javacc,javacc,
javamail,javamail,javax.mail,mail,
javamail,mail,javax.mail,mail,
javassist,javassist,org.javassist,javassist,
javax.activation,activation,javax.activation,javax.activation-api,
javax.activation,javax.activation-api,jakarta.activation,jakarta.activation-api,"Java EE new home is Jakarta EE, see https://wiki.eclipse.org/Jakarta_EE_Maven_Coordinates"
javax.annotation,javax.annotation-api,jakarta.annotation,jakarta.annotation-api,"Java EE new home is Jakarta EE, see https://wiki.eclipse.org/Jakarta_EE_Maven_Coordinates"
javax.el,el-api,javax.el,javax.el-api,
javax.el,javax.el-api,jakarta.el,jakarta.el-api,"Java EE new home is Jakarta EE, see https://wiki.eclipse.org/Jakarta_EE_Maven_Coordinates"
